epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.217,2.02238,2.71611,2.27111,0.57942,0.34254,0.37629,0.14785,2.48804,3.0043,2.77144,0.000652778,0.000652778,0.000652778
2,222.745,1.67874,2.1227,1.93484,0.67695,0.58564,0.61648,0.29875,1.97041,2.10313,2.14466,0.00118882,0.00118882,0.00118882
3,339.707,1.55442,1.92462,1.77686,0.76896,0.58011,0.64012,0.3233,1.85781,1.93661,2.06487,0.00159286,0.00159286,0.00159286
4,454.085,1.51367,1.76931,1.77475,0.84356,0.58564,0.67406,0.33994,1.83391,1.76006,1.99496,0.001406,0.001406,0.001406
5,568.681,1.41904,1.60869,1.70983,0.86413,0.63249,0.69466,0.37028,1.72523,1.66386,1.95859,0.001208,0.001208,0.001208
6,683.372,1.43858,1.46466,1.67692,0.8036,0.64088,0.70433,0.37077,1.80421,1.58867,1.96319,0.00101,0.00101,0.00101
7,798.843,1.38521,1.36934,1.66979,0.8734,0.6861,0.74323,0.39585,1.75774,1.4919,1.90397,0.000812,0.000812,0.000812
8,929.834,1.29743,1.30346,1.57861,0.84284,0.71271,0.7643,0.40664,1.73662,1.44064,1.89327,0.000614,0.000614,0.000614
9,1081.47,1.31035,1.25908,1.61466,0.80592,0.70718,0.74814,0.42831,1.70768,1.3684,1.84956,0.000416,0.000416,0.000416
10,1227.07,1.28824,1.20048,1.57461,0.85685,0.69448,0.77343,0.43876,1.66241,1.35468,1.8187,0.000218,0.000218,0.000218
